ActivityIdentifier,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Skor_SAW,Peringkat
nwisca.01.02202012,8.25,141.0,313.83666666666664,7.12,76.4,657.0,3.1233735705209655,66.4,37.403660625,0.30829517564675846,508
HPUL1EPA_WQX-MC-04:20231220:0829:FM:PS:,7.6,162.09405044510385,71.0,7.12,65.86257217573221,109.3,3.1233735705209655,66.4,176.92,0.3082840483442317,509
nwisca.01.02301331,7.6,162.09405044510385,246.45972997594052,7.12,1.95,75.0,3.1233735705209655,66.4,170.0,0.30827598488125146,510
nwisca.01.02205025,8.45,82.8,74.82,7.12,3.52,224.5,4.2,66.4,37.403660625,0.30826671725557286,511
nwisaz.01.02300522,8.3,308.0,5281.626666666666,7.12,239.0,1060.0,3.1233735705209655,66.4,37.403660625,0.3082470019265867,512
nwisaz.01.02000268,8.3,316.0,437.3,7.12,238.0,1030.0,3.1233735705209655,66.4,37.403660625,0.3082367941293695,513
nwisaz.01.02300203,8.3,317.0,475.0,7.12,251.0,1165.0,3.1233735705209655,66.4,37.403660625,0.3082339908634387,514
nwisaz.01.02200100,8.3,322.0,482.67,7.12,260.0,1130.0,3.1233735705209655,66.4,37.403660625,0.3082280454536431,515
nwisaz.01.02300826,8.3,326.0,484.34,7.12,262.0,1165.0,3.1233735705209655,66.4,37.403660625,0.3082227824486606,516
nwisaz.01.02300572,8.3,327.0,471.33,7.12,251.0,1140.0,3.1233735705209655,66.4,37.403660625,0.30822182922019725,517
nwisaz.01.02300702,8.3,333.0,480.33,7.12,263.0,1160.0,3.1233735705209655,66.4,37.403660625,0.30821453359617573,518
nwisca.01.02301380,7.8,162.09405044510385,246.45972997594052,7.12,4.62,112.5,3.1233735705209655,66.4,80.0,0.3081779300327666,519
nwisca.01.02300546,8.2,112.0,215.48000000000002,7.12,66.0,574.5,3.1233735705209655,66.4,37.403660625,0.3080799214712127,520
nwisca.01.02100871,8.149999999999999,81.9,105.07,7.12,45.0,317.5,3.1233735705209655,66.4,37.403660625,0.3080667142088743,521
nwisca.01.02102732,8.25,192.0,198.8275,7.12,35.7,645.0,3.1233735705209655,66.4,37.403660625,0.3080531043917116,522
nwisca.01.02104380,8.149999999999999,82.2,133.1225,7.12,66.0,409.5,3.1233735705209655,66.4,37.403660625,0.30805142853884193,523
nwisca.01.02304127,8.25,197.0,172.11666666666667,7.12,72.0,403.5,3.1233735705209655,66.4,37.403660625,0.3080486156168284,524
HPUL1EPA_WQX-SC-01:20230208:1652:FM:PS:,7.89,162.09405044510385,126.0,7.12,65.86257217573221,194.4,3.1233735705209655,66.4,63.6,0.30804144017147017,525
nwisca.01.02203574,8.0,45.4,39.6575,7.12,4.4,118.0,3.1233735705209655,66.4,37.403660625,0.3080383221556357,526
OVIWC-LP-SS-1-20230829-F,7.61,162.09405044510385,36.0,7.12,65.86257217573221,55.7,3.1233735705209655,66.4,134.3,0.3079906423556798,527
nwisca.01.02101939,8.1,69.7,81.8475,7.12,19.4,232.5,3.1233735705209655,66.4,37.403660625,0.30790276649502063,528
nwisca.01.02308107,8.1,69.6,109.40666666666668,7.12,23.8,257.0,3.1233735705209655,66.4,37.403660625,0.30789988538744195,529
nwisca.01.02003922,8.149999999999999,95.7,67.59,7.12,12.4,208.0,3.1233735705209655,66.4,37.403660625,0.3078624924105091,530
CA_BVR-FC2:20210421:0930:FM:PS:0.04:Hanna,7.39,162.09405044510385,266.0,7.12,65.86257217573221,534.0,3.1233735705209655,66.4,0.0,0.3078622092530594,531
nwisca.01.02001994,8.1,71.6,79.92,7.12,19.5,241.5,3.1233735705209655,66.4,37.403660625,0.30785160417895713,532
nwisca.01.02003775,8.0,49.0,41.555,7.12,2.98,122.0,3.1233735705209655,66.4,37.403660625,0.3078263007973748,533
nwisaz.01.02100167,8.25,298.0,432.97,7.12,231.0,1045.0,3.1233735705209655,66.4,37.403660625,0.30780666129442075,534
nwisaz.01.02000192,8.25,301.0,423.29333333333335,7.12,234.0,998.5,3.1233735705209655,66.4,37.403660625,0.3078029583370607,535
nwisaz.01.02100091,8.25,304.0,455.31666666666666,7.12,246.0,1075.0,3.1233735705209655,66.4,37.403660625,0.3077977769223113,536
nwisaz.01.02200123,8.25,305.0,796.7225,7.12,235.0,1035.0,3.1233735705209655,66.4,37.403660625,0.3077968741031411,537
HPUL1EPA_WQX-MC-01:20231220:0900:FM:PS:,7.71,162.09405044510385,67.0,7.12,65.86257217573221,103.4,3.1233735705209655,66.4,91.06,0.3077961702378319,538
nwisaz.01.02100094,8.25,306.0,429.2966666666667,7.12,234.0,1015.0,3.1233735705209655,66.4,37.403660625,0.3077957520825561,539
nwisaz.01.02000276,8.25,308.0,434.30333333333334,7.12,232.0,1040.0,3.1233735705209655,66.4,37.403660625,0.30779270133778874,540
nwisaz.01.02200001,8.25,311.0,447.97333333333336,7.12,242.0,1055.0,3.1233735705209655,66.4,37.403660625,0.3077884860418046,541
nwisaz.01.02100272,8.25,314.0,438.97,7.12,234.0,1050.0,3.1233735705209655,66.4,37.403660625,0.30778459320749546,542
nwisaz.01.02000339,8.25,314.0,447.9766666666667,7.12,247.0,1055.0,3.1233735705209655,66.4,37.403660625,0.30778453228671004,543
nwisaz.01.02200006,8.25,314.0,456.98333333333335,7.12,246.0,1085.0,3.1233735705209655,66.4,37.403660625,0.30778417855311757,544
nwisaz.01.02000170,8.25,315.0,446.64000000000004,7.12,246.0,1045.0,3.1233735705209655,66.4,37.403660625,0.30778335352836134,545
nwisaz.01.02200027,8.25,317.0,471.3233333333333,7.12,258.0,1105.0,3.1233735705209655,66.4,37.403660625,0.30778007448080597,546
nwisaz.01.02200585,8.25,323.0,452.31666666666666,7.12,231.0,1105.0,3.1233735705209655,66.4,37.403660625,0.30777253280233813,547
nwisaz.01.02300088,8.25,326.0,458.99666666666667,7.12,216.0,1145.0,3.1233735705209655,66.4,37.403660625,0.3077684393593156,548
nwisaz.01.02300151,8.25,328.0,481.0,7.12,259.0,1135.0,3.1233735705209655,66.4,37.403660625,0.3077661359890526,549
nwisaz.01.02200137,8.25,335.0,619.0275,7.12,284.0,1275.0,3.1233735705209655,66.4,37.403660625,0.30775663129714675,550
nwisaz.01.02100079,8.25,368.0,535.6999999999999,7.12,297.0,1245.0,3.1233735705209655,66.4,37.403660625,0.30772243553504125,551
nwisca.01.02302828,8.25,382.0,340.8966666666667,7.12,149.0,768.5,3.1233735705209655,66.4,37.403660625,0.307716340089726,552
SYCEO_WQX-ZDC-7:20200219:0000:SR:,8.2,162.09405044510385,900.0,7.12,260.0,1340.0,3.1233735705209655,66.4,37.403660625,0.3077113767345668,553
nwisca.01.02200943,7.9,162.09405044510385,246.45972997594052,7.12,11.5,221.0,3.1233735705209655,66.4,58.0,0.3076981631101625,554
nwisca.01.02202798,8.3,115.0,246.45972997594052,7.12,12.5,260.5,3.6,66.4,37.403660625,0.3076817773557858,555
nwisca.01.02103036,8.3,118.0,82.11,7.12,28.4,248.0,3.59,66.4,37.403660625,0.3076797680050837,556
nwisca.01.02302818,8.2,175.0,157.77666666666667,7.12,67.8,377.5,3.1233735705209655,66.4,37.403660625,0.30767850306958344,557
nwisca.01.02002735,8.25,432.0,321.42,7.12,270.0,919.5,3.1233735705209655,66.4,37.403660625,0.30767446160667294,558
nwisca.01.02301324,7.5,162.09405044510385,246.45972997594052,7.12,1.89,63.5,3.1233735705209655,66.4,200.0,0.30764698515326294,559
nwisca.01.02302882,7.6,35.5,46.03,7.12,0.06,85.0,2.51,66.4,37.403660625,0.3076466997842508,560
nwisca.01.02305065,7.949999999999999,311.0,446.9766666666667,7.12,108.0,1140.0,4.4399999999999995,66.4,140.0,0.3076317586213365,561
nwisca.01.02103101,8.05,308.0,473.3233333333333,7.12,118.0,1180.0,3.1233735705209655,66.4,48.0,0.30762849575987455,562
OVIWC-LP-SS-1-20230413-F,7.96,162.09405044510385,79.0,7.12,65.86257217573221,122.1,3.1233735705209655,66.4,50.8,0.3076076391512122,563
nwisca.01.02200672,8.1,83.1,129.48,7.12,67.5,388.5,3.1233735705209655,66.4,37.403660625,0.307581707721515,564
nwisca.01.02303521,8.05,65.4,89.06333333333333,7.12,14.3,200.0,3.1233735705209655,66.4,37.403660625,0.30757905940039126,565
nwisca.01.02002736,8.25,667.0,524.76,7.12,393.0,1450.0,3.1233735705209655,66.4,37.403660625,0.30756412810941663,566
nwisca.01.02100066,8.2,331.0,474.3233333333333,7.12,128.0,1165.0,2.975,66.4,36.0,0.3075071362152497,567
CA_BVR-FC1:20220302:0819:FM:PS:0.141:Hydro,7.53,162.09405044510385,0.2415,7.12,65.86257217573221,0.3773,3.1233735705209655,66.4,7.5,0.3074822559970744,568
nwisca.01.02300026,7.45,66.8,91.06333333333333,7.12,14.5,238.5,2.02,66.4,37.403660625,0.3074587693920136,569
nwisca.01.02003883,8.100000000000001,92.9,219.48333333333335,7.12,115.0,534.5,3.1233735705209655,66.4,37.403660625,0.30740884218652254,570
nwisca.01.02200070,8.1,94.5,190.1225,7.12,160.0,605.5,3.1233735705209655,66.4,37.403660625,0.30738242537745325,571
nwisaz.01.02100148,8.2,283.0,6526.263333333333,7.12,215.0,942.5,3.1233735705209655,66.4,37.403660625,0.3073764115981951,572
nwisaz.01.02100244,8.2,289.0,5731.936666666667,7.12,218.0,947.5,3.1233735705209655,66.4,37.403660625,0.3073668944303752,573
nwisaz.01.02300108,8.2,291.0,1386.61,7.12,222.0,1000.5,3.1233735705209655,66.4,37.403660625,0.30736307915188044,574
nwisaz.01.02100299,8.2,292.0,423.28999999999996,7.12,232.0,1035.0,3.1233735705209655,66.4,37.403660625,0.3073611148601384,575
nwisaz.01.02200191,8.2,293.0,398.6133333333334,7.12,204.0,953.5,3.1233735705209655,66.4,37.403660625,0.30736072522014773,576
nwisaz.01.02100200,8.2,294.0,415.61999999999995,7.12,222.0,999.5,3.1233735705209655,66.4,37.403660625,0.30735857970968755,577
nwisaz.01.02100151,8.2,296.0,5199.6033333333335,7.12,220.0,955.0,3.1233735705209655,66.4,37.403660625,0.30735625113736126,578
nwisaz.01.02200140,8.2,297.0,430.9666666666667,7.12,232.0,1030.0,3.1233735705209655,66.4,37.403660625,0.3073537580725992,579
nwisca.01.02003717,8.05,73.5,82.79,7.12,20.0,239.5,3.1233735705209655,66.4,37.403660625,0.3073510598063519,580
nwisaz.01.02200163,8.2,304.0,429.63000000000005,7.12,232.0,1030.0,3.1233735705209655,66.4,37.403660625,0.3073437800024238,581
nwisaz.01.02000251,8.2,306.0,432.96333333333337,7.12,239.0,1030.0,3.1233735705209655,66.4,37.403660625,0.30734101297456,582
nwisaz.01.02100241,8.2,307.0,413.6133333333333,7.12,224.0,987.0,3.1233735705209655,66.4,37.403660625,0.3073402138688496,583
nwisaz.01.02100040,8.2,310.0,2695.2866666666664,7.12,238.0,1003.0,3.1233735705209655,66.4,37.403660625,0.30733593877620297,584
nwisaz.01.02000064,8.2,310.0,444.64000000000004,7.12,247.0,1035.0,3.1233735705209655,66.4,37.403660625,0.30733552272580344,585
nwisaz.01.02000318,8.2,315.0,447.31333333333333,7.12,241.0,1050.0,3.1233735705209655,66.4,37.403660625,0.30732874657005643,586
nwisaz.01.02200322,8.2,317.0,444.3066666666667,7.12,235.0,1085.0,3.1233735705209655,66.4,37.403660625,0.3073257541779589,587
nwisaz.01.02100037,8.2,320.0,2858.286666666667,7.12,237.0,992.5,3.1233735705209655,66.4,37.403660625,0.30732310734821405,588
nwisaz.01.02400089,8.2,321.0,464.99333333333334,7.12,258.0,1120.0,3.1233735705209655,66.4,37.403660625,0.3073203063280671,589
nwisaz.01.02100004,8.2,323.0,460.65000000000003,7.12,251.0,1090.0,3.1233735705209655,66.4,37.403660625,0.307318155436962,590
nwisaz.01.02300298,8.2,327.0,462.98333333333335,7.12,254.0,1100.0,3.1233735705209655,66.4,37.403660625,0.30731316883742216,591
nwisaz.01.02300877,8.2,328.0,476.32666666666665,7.12,262.0,1180.0,3.1233735705209655,66.4,37.403660625,0.30731113704014446,592
nwisaz.01.02300230,8.2,329.0,470.3233333333333,7.12,254.0,1125.0,3.1233735705209655,66.4,37.403660625,0.30731050359943846,593
nwisaz.01.02100117,8.2,334.0,536.6899999999999,7.12,275.0,1265.0,3.1233735705209655,66.4,37.403660625,0.3073033197623055,594
nwisaz.01.02200135,8.2,338.0,580.2675,7.12,275.0,1235.0,3.1233735705209655,66.4,37.403660625,0.3072990188314792,595
nwisaz.01.02400002,8.2,340.0,501.0133333333333,7.12,275.0,1190.0,3.1233735705209655,66.4,37.403660625,0.3072971922843422,596
nwisca.01.02104923,7.9,43.2,22.963333333333335,7.12,3.41,101.0,3.1233735705209655,66.4,37.403660625,0.30729284845853105,597
nwisca.01.02302111,7.95,50.8,71.38333333333334,7.12,6.2,153.5,3.1233735705209655,66.4,37.403660625,0.3072559864887348,598
nwisca.01.02203159,8.0,61.5,89.72666666666667,7.12,11.9,196.5,3.1233735705209655,66.4,37.403660625,0.3072505089873189,599
nwisca.01.02202011,8.0,61.5,136.39333333333335,7.12,16.7,211.0,3.1233735705209655,66.4,37.403660625,0.3072457887890627,600
HPUL1EPA_WQX-AC-01:20231220:0933:FM:PS:,8.0,162.09405044510385,82.0,7.12,65.86257217573221,126.6,3.1233735705209655,66.4,44.87,0.3072376069791633,601
nwisca.01.02003774,7.949999999999999,52.4,47.065,7.12,8.66,150.0,3.1233735705209655,66.4,37.403660625,0.30718068045327246,602
CA_BVR-FC1:20210407:0306:FM:PS:0.09:Hanna,7.31,162.09405044510385,216.0,7.12,65.86257217573221,433.0,3.1233735705209655,66.4,0.0,0.30714083214558063,603
nwisca.01.02004380,7.8999999999999995,45.6,678.0225,7.12,3.31,114.0,3.1233735705209655,66.4,37.403660625,0.30712081128639274,604
nwisca.01.02304253,8.05,84.2,113.1625,7.12,34.6,304.0,3.1233735705209655,66.4,37.403660625,0.3071165860813955,605
nwisca.01.02203948,8.2,749.0,347.1766666666667,7.12,269.0,1735.0,3.1233735705209655,66.4,37.403660625,0.3070869292119652,606
HPUL1EPA_WQX-CD-01:20231220:0941:FM:PS:,7.82,162.09405044510385,69.0,7.12,65.86257217573221,105.6,3.1233735705209655,66.4,58.39,0.307069932603036,607
HPUL1EPA_WQX-SC-01:20230301:1200:FM:PS:,8.11,162.09405044510385,115.0,7.12,65.86257217573221,176.8,3.1233735705209655,66.4,37.7,0.3070184107129654,608
nwisca.01.02300545,8.0,69.3,110.41000000000001,7.12,23.6,254.0,3.1233735705209655,66.4,37.403660625,0.3069994196900074,609
nwisca.01.02205026,7.6,95.7,126.32,7.12,22.2,345.0,2.2,66.4,37.403660625,0.30697559242695666,610
nwisca.01.02003712,7.9,48.5,31.39,7.12,2.94,100.0,3.1233735705209655,66.4,37.403660625,0.3069686263759207,611
HPUL1EPA_WQX-MC-02:20230329:1451:FM:PS:,7.82,162.09405044510385,88.0,7.12,65.86257217573221,135.0,3.1233735705209655,66.4,57.4,0.3069592430771478,612
nwisca.01.02301362,7.775573846153846,82.8,61.085,7.12,15.9,338.4017245542537,3.1233735705209655,66.4,54.0,0.30694795519479684,613
nwisca.01.02301410,7.55,72.5,84.39333333333333,7.12,14.1,190.5,2.29,66.4,40.0,0.3069196681032462,614
HPUL1EPA_WQX-SC-01:20230524:1408:FM:PS:,8.16,162.09405044510385,189.0,7.12,65.86257217573221,290.9,3.1233735705209655,66.4,35.2,0.3069145813595789,615
nwisaz.01.02200318,8.15,289.0,400.60999999999996,7.12,215.0,979.0,3.1233735705209655,66.4,37.403660625,0.3069118906378024,616
nwisca.01.02101959,8.15,204.0,422.28,7.12,155.0,969.0,11.8,66.4,640.0,0.30690760847794535,617
nwisca.01.02200538,7.775573846153846,203.0,135.685,7.12,39.8,457.0,2.36,66.4,37.403660625,0.30690214049800457,618
nwisaz.01.02100297,8.15,300.0,423.6233333333333,7.12,228.0,1020.0,3.1233735705209655,66.4,37.403660625,0.3068950077541665,619
nwisaz.01.02200582,8.15,302.0,414.28999999999996,7.12,213.0,1003.0,3.1233735705209655,66.4,37.403660625,0.3068923909717323,620
nwisaz.01.02200413,8.15,311.0,436.6333333333334,7.12,235.0,1050.0,3.1233735705209655,66.4,37.403660625,0.3068794560534991,621
nwisca.01.02102973,8.15,313.0,442.64000000000004,7.12,240.0,1035.0,3.1233735705209655,66.4,37.403660625,0.30687699808956165,622
nwisaz.01.02000163,8.15,315.0,454.9866666666667,7.12,246.0,1065.0,3.1233735705209655,66.4,37.403660625,0.3068740200692333,623
nwisaz.01.02200558,8.15,317.0,458.6566666666667,7.12,241.0,1095.0,3.1233735705209655,66.4,37.403660625,0.3068710951194743,624
nwisaz.01.02300008,8.15,318.0,463.6566666666667,7.12,242.0,1130.0,3.1233735705209655,66.4,37.403660625,0.306869436630145,625
nwisaz.01.02200121,8.149999999999999,354.0,488.2625,7.12,284.0,1185.0,3.1233735705209655,66.4,37.403660625,0.3068277245966769,626
nwisca.01.02003920,7.949999999999999,61.6,43.06,7.12,16.9,140.5,3.1233735705209655,66.4,37.403660625,0.3068199433542687,627
nwisca.01.02302263,7.85,61.2,68.04666666666667,7.12,9.03,155.5,2.4,66.4,29.0,0.3067142945079896,628
OVIWC-LP-SS-5-20230925-F,8.05,162.09405044510385,193.0,7.12,65.86257217573221,297.5,3.1233735705209655,66.4,39.07,0.3067028804883252,629
SANPASQUAL-21B0775-02,7.76,162.09405044510385,570.0,7.12,65.86257217573221,338.4017245542537,4.12,66.4,130.0,0.3066973584323518,630
nwisca.01.02300948,7.95,66.1,143.74666666666667,7.12,25.7,266.5,3.1233735705209655,66.4,37.403660625,0.3066322889107776,631
nwisca.01.02006024,7.85,46.6,36.05,7.12,8.83,108.5,3.1233735705209655,66.4,37.403660625,0.30661170156242396,632
HPUL1EPA_WQX-LC-01:20230802:1026:FM:PS:,7.48,162.09405044510385,709.0,7.12,65.86257217573221,1090.0,3.1233735705209655,66.4,131.0,0.30652627698510393,633
nwisaz.01.02100246,8.1,281.0,4994.596666666667,7.12,214.0,942.5,3.1233735705209655,66.4,37.403660625,0.30647055748852076,634
nwisaz.01.02200250,8.1,296.0,424.2966666666667,7.12,226.0,1020.0,3.1233735705209655,66.4,37.403660625,0.30644625959691835,635
nwisaz.01.02100247,8.1,298.0,6271.946666666667,7.12,224.0,995.5,3.1233735705209655,66.4,37.403660625,0.30644366715236043,636
nwisaz.01.02100152,8.1,307.0,6044.953333333334,7.12,233.0,1015.0,3.1233735705209655,66.4,37.403660625,0.30643074572466805,637
nwisca.01.02301367,7.775573846153846,82.7,58.08,7.12,15.3,338.4017245542537,3.1233735705209655,66.4,49.0,0.3064197893449264,638
nwisaz.01.02000345,8.1,317.0,4463.266666666666,7.12,195.0,1050.0,3.1233735705209655,66.4,37.403660625,0.30641707792324585,639
nwisca.01.02305321,8.0,309.0,446.6333333333334,7.12,111.0,1125.0,3.92,66.4,61.0,0.30641455711638016,640
nwisaz.01.02100041,8.1,332.0,3454.986666666666,7.12,261.0,1100.0,3.1233735705209655,66.4,37.403660625,0.30639815054908953,641
nwisaz.01.02100203,8.1,340.0,537.6866666666666,7.12,267.0,1220.0,3.1233735705209655,66.4,37.403660625,0.3063878224731987,642
nwisaz.01.02000347,8.1,343.0,620.0233333333333,7.12,277.0,1250.0,3.1233735705209655,66.4,37.403660625,0.306384246205572,643
nwisaz.01.02300065,8.100000000000001,343.0,621.04,7.12,284.0,1305.0,3.1233735705209655,66.4,37.403660625,0.30638379113430764,644
nwisaz.01.02300062,8.100000000000001,344.0,608.7725,7.12,277.0,1205.0,3.1233735705209655,66.4,37.403660625,0.3063835586835321,645
nwisaz.01.02300074,8.100000000000001,351.0,656.5475,7.12,289.0,1345.0,3.1233735705209655,66.4,37.403660625,0.3063749315575845,646
nwisaz.01.02200132,8.1,354.0,635.7875,7.12,297.0,1310.0,3.1233735705209655,66.4,37.403660625,0.30637209232214885,647
nwisaz.01.02100022,8.1,359.0,907.6966666666667,7.12,285.0,1135.0,3.1233735705209655,66.4,37.403660625,0.3063686173983628,648
nwisca.01.02003782,8.15,328.0,471.3233333333333,7.12,122.0,1155.0,4.24,66.4,52.0,0.30636489302814074,649
nwisaz.01.02200116,8.100000000000001,380.0,980.0825,7.12,316.0,1485.0,3.1233735705209655,66.4,37.403660625,0.30634600304609505,650
nwisca.01.02303520,8.0,179.0,104.14,7.12,22.6,324.0,3.1233735705209655,66.4,40.0,0.306336556847694,651
nwisca.01.02103048,8.1,403.0,407.2833333333333,7.12,263.0,886.0,3.1233735705209655,66.4,37.403660625,0.306332818419701,652
nwisaz.01.02200124,8.100000000000001,401.0,812.085,7.12,330.0,1495.0,3.1233735705209655,66.4,37.403660625,0.306328205671248,653
nwisca.01.02302264,7.9,160.0,211.14333333333332,7.12,49.4,550.0,4.95,66.4,110.0,0.30631931904040405,654
nwisca.01.02103050,8.1,565.0,583.0733333333334,7.12,412.0,1105.0,3.1233735705209655,66.4,37.403660625,0.3062382320369373,655
nwisca.01.02002455,8.2,162.09405044510385,246.45972997594052,7.12,9.55,304.0,3.1233735705209655,66.4,31.0,0.3061965812653385,656
nwisca.01.02203953,8.1,757.0,363.8566666666666,7.12,295.0,1830.0,3.1233735705209655,66.4,37.403660625,0.30617561856655556,657
HPUL1EPA_WQX-MC-03:20230329:1502:FM:PS:,7.74,162.09405044510385,88.0,7.12,65.86257217573221,135.4,3.1233735705209655,66.4,56.7,0.3061713446293408,658
nwisca.01.02103254,7.4,141.0,111.65,7.12,31.7,397.0,2.0,66.4,37.403660625,0.3061202247219926,659
nwisca.01.02200674,8.05,231.0,249.375,7.12,59.3,821.0,3.1233735705209655,66.4,37.403660625,0.3061172670569508,660
nwisca.01.02002426,7.85,56.0,65.09,7.12,4.43,172.5,3.1233735705209655,66.4,37.403660625,0.30610196043792776,661
nwisca.01.02200673,7.949999999999999,94.4,156.95,7.12,60.5,499.0,3.1233735705209655,66.4,37.403660625,0.306024989136863,662
nwisca.01.02102251,8.0,155.0,130.75666666666666,7.12,28.1,316.0,3.1233735705209655,66.4,37.403660625,0.30596217364355055,663
nwisaz.01.02300064,8.05,366.0,611.5475,7.12,300.0,1365.0,3.1233735705209655,66.4,37.403660625,0.3059052117484846,664
nwisaz.01.02300066,8.05,417.0,1237.865,7.12,352.0,1670.0,3.1233735705209655,66.4,37.403660625,0.3058603996215877,665
nwisca.01.02200555,7.6,162.09405044510385,246.45972997594052,7.12,3.34,100.0,3.1233735705209655,66.4,68.0,0.3057559948812515,666
nwisca.01.02103155,8.05,658.0,757.19,7.12,407.0,1610.0,3.1233735705209655,66.4,37.403660625,0.30574766042711526,667
nwisca.01.02002274,8.0,204.0,203.7375,7.12,46.7,652.0,3.1233735705209655,66.4,37.403660625,0.3057407223107755,668
nwisca.01.02203942,8.05,742.0,390.55333333333334,7.12,349.0,1825.0,3.1233735705209655,66.4,37.403660625,0.3057245302433437,669
SYCEO_WQX-ZDC-3:20230105:0000:SR:,7.98,162.09405044510385,740.0,7.12,152.0,994.0,3.1233735705209655,66.4,37.403660625,0.30571488281733206,670
SYCEO_WQX-ZDC-3:202301051035:SR,7.98,162.09405044510385,740.0,7.12,152.0,994.0,3.1233735705209655,66.4,37.403660625,0.30571488281733206,670
OVIWC-LP-SS-3-20230413-F,8.24,162.09405044510385,368.0,7.12,65.86257217573221,566.8,3.1233735705209655,66.4,28.38,0.3057042984015226,672
nwisca.01.02200559,8.1,162.09405044510385,246.45972997594052,7.12,12.1,168.0,20.7,66.4,860.0,0.30567244632743057,673
nwisca.01.02104254,8.25,298.0,445.6366666666667,7.12,111.0,1105.0,3.1233735705209655,66.4,29.0,0.30563281218077143,674
nwisca.01.02001993,8.149999999999999,312.0,444.9666666666667,7.12,112.0,1110.0,3.04,66.4,31.0,0.30559876040096273,675
CA_BVR-COOP01:20220421:0920:FM:PS:0.297:Hydro,7.94,162.09405044510385,0.245,7.12,65.86257217573221,0.3829,3.1233735705209655,66.4,6.6,0.30558634635137183,676
nwisca.01.02303828,8.2,162.09405044510385,246.45972997594052,7.12,53.3,600.5,3.1233735705209655,66.4,29.0,0.30555063281246864,677
nwisca.01.02305969,7.949999999999999,146.0,214.14666666666668,7.12,47.1,547.0,3.1233735705209655,66.4,37.403660625,0.305540775021024,678
nwisaz.01.02000342,8.0,295.0,5564.6033333333335,7.12,220.0,960.0,3.1233735705209655,66.4,37.403660625,0.3055394695990296,679
nwisaz.01.02000344,8.0,302.0,4071.9466666666667,7.12,230.0,990.0,3.1233735705209655,66.4,37.403660625,0.3055289313113196,680
nwisca.01.02204694,7.7,42.6,18.523333333333333,7.12,2.77,98.5,3.1233735705209655,66.4,37.403660625,0.3055200184515902,681
nwisca.01.02003402,8.05,342.0,501.3433333333333,7.12,130.0,1225.0,3.785,66.4,45.0,0.3054732030092955,682
nwisca.01.02201776,6.9,66.2,20.53,7.12,0.56,11.0,1.81,66.4,37.403660625,0.3054156900849476,683
nwisca.01.02201779,8.1,35.8,52.70666666666667,7.12,0.12,87.0,5.58,66.4,37.403660625,0.30540692090679616,684
nwisaz.01.02300075,8.0,449.0,965.4225,7.12,401.0,1955.0,3.1233735705209655,66.4,37.403660625,0.3053826798449528,685
nwisca.01.02302628,7.6,21.9,28.7575,7.12,0.99,67.5,4.0,66.4,37.403660625,0.30536831098594197,686
nwisca.01.02101242,8.2,55.5,64.71,7.12,0.13,130.0,5.26,66.4,37.403660625,0.3053244438599915,687
nwisca.01.02002734,8.0,593.0,436.25,7.12,390.0,1185.0,3.1233735705209655,66.4,37.403660625,0.30531756095147883,688
nwisca.01.02002424,7.95,197.0,200.985,7.12,44.0,661.5,3.1233735705209655,66.4,37.403660625,0.30530829670354714,689
nwisca.01.02201163,7.775573846153846,131.0,66.51,7.12,23.0,287.0,2.78,66.4,37.403660625,0.3052963762890487,690
nwisca.01.02306526,7.55,70.6,103.40333333333332,7.12,25.4,283.0,2.51,66.4,37.403660625,0.3052786527368779,691
nwisca.01.02002732,8.0,722.0,799.1975,7.12,579.0,2210.0,3.1233735705209655,66.4,37.403660625,0.30527350112505336,692
nwisca.01.02202010,7.949999999999999,211.0,280.52333333333337,7.12,47.7,692.0,3.1233735705209655,66.4,37.403660625,0.3052640505249387,693
nwisca.01.02300540,7.949999999999999,212.0,302.2033333333333,7.12,48.0,768.5,3.1233735705209655,66.4,37.403660625,0.305259231839387,694
SANPASQUAL-21B0775-03,7.78,162.09405044510385,630.0,7.12,65.86257217573221,338.4017245542537,7.46,66.4,630.0,0.30524458899836215,695
nwisca.01.02203955,8.0,865.0,554.1133333333333,7.12,543.0,2510.0,3.1233735705209655,66.4,37.403660625,0.3052433024555932,696
nwisca.01.02305183,7.8,67.7,90.06,7.12,13.6,226.0,3.1233735705209655,66.4,37.403660625,0.3052317124317573,697
nwisca.01.02303542,8.5,162.09405044510385,246.45972997594052,7.12,55.4,601.5,3.1233735705209655,66.4,22.0,0.3052002819658128,698
nwisca.01.02200866,8.0,117.0,72.6,7.12,18.6,232.0,13.0,66.4,265.0,0.30519618965460366,699
nwisca.01.02301323,7.7,162.09405044510385,246.45972997594052,7.12,3.62,91.0,3.1233735705209655,66.4,50.0,0.30519343447166103,700
nwisca.01.02200560,7.2,162.09405044510385,246.45972997594052,7.12,3.28,72.5,3.1233735705209655,66.4,250.0,0.3051738267621292,701
nwisca.01.02004215,8.149999999999999,307.0,463.6466666666667,7.12,125.0,1135.0,3.93,66.4,39.0,0.3051668613968262,702
nwisca.01.02102959,8.0,326.0,472.31666666666666,7.12,118.0,1180.0,4.21,66.4,53.0,0.305156957798062,703
nwisca.01.02002267,8.149999999999999,302.0,441.9666666666667,7.12,109.0,1090.0,2.5999999999999996,66.4,25.0,0.3051556044462676,704
